atopid,year,onlyconsul,defcon,prob_det,dem_prop,dem_dich,wartime,offense,mem_num,mean_threat,max_threat,min_s_2cat,mean_s_2cat,defense,neutral,nonagg,consul,conditio,offcon,neucon,concon,h1_cat3,h2_cat3,h2_cat4,offense_tpm,consul_tpm,dem_prop_rawpolity,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8,mem9,mem10,mem11,mem12,mem13,mem14,mem15,mem16,mem17,mem18,mem19,mem20,mem21,mem22,mem23,mem24,mem25,mem26,mem27,mem28,mem29,mem30,mem31,mem32,mem33,mem34,mem35,mem36,mem37,mem38,mem39,mem40,mem41,mem42,mem43
1330,1878,0,1,0,0,0,0,0,2,0,0,.93650794,.93650794,1,0,0,0,1,0,0,0,1,2,3,0,0,0,200,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335,1879,0,1,0,0,0,0,0,2,0,0,.93650794,.93650794,1,1,0,0,1,0,1,0,1,2,3,0,0,0,255,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,1881,0,0,0,0,0,0,0,3,0,0,.8888889,.92592591,0,1,0,1,1,0,1,1,1,0,1,0,1,0,255,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,1881,0,0,0,0,0,0,0,2,0,0,.90476191,.90476191,0,1,0,1,0,0,0,0,1,0,1,0,1,0,300,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1882,0,1,1,0,0,0,1,3,0,0,.87096775,.91397852,1,1,0,1,1,1,1,0,1,2,3,1,1,0,255,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,1883,0,1,0,0,0,0,0,3,0,0,.83606559,.89071041,1,0,0,1,1,0,0,1,1,2,3,0,1,0,255,300,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,1887,1,0,0,.33333334,1,0,0,3,0,0,.80000001,.86666667,0,0,0,1,1,0,0,1,2,0,1,0,1,.33333334,200,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,1887,1,0,0,0,0,0,0,4,.029025501,.116102,.78333336,.88055557,0,0,1,1,1,0,0,1,2,0,0,0,1,0,230,255,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,1887,0,0,0,0,0,0,0,2,0,0,.86666667,.86666667,0,1,0,1,1,0,1,1,1,0,1,0,1,0,255,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375,1887,0,0,0,.33333334,1,0,1,3,.038700666,.116102,.85000002,.89999998,0,0,0,1,1,1,0,1,1,0,1,1,1,.33333334,200,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380,1891,1,0,0,.5,1,0,0,2,.04758,.04758,.93220341,.93220341,0,0,0,1,0,0,0,0,2,0,1,0,1,.5,220,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,1893,0,1,0,.5,1,0,0,2,.082767002,.082767002,.96610171,.96610171,1,0,0,0,1,0,0,0,1,2,3,0,0,.5,220,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,1894,0,1,0,0,0,1,1,2,.047440998,.047440998,.93103451,.93103451,1,0,0,0,1,1,0,0,1,2,3,1,0,0,730,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,1896,0,1,0,0,0,0,1,2,.039468501,.078937002,.89655173,.89655173,1,0,0,0,1,1,0,0,1,2,3,1,0,0,365,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,1899,0,0,0,.5,1,0,0,2,0,0,.92982459,.92982459,1,0,1,0,0,0,0,0,1,1,2,0,0,.5,200,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,1901,1,0,0,0,0,0,0,2,0,0,.98275864,.98275864,0,0,0,1,1,0,0,1,2,0,1,0,1,0,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,1902,0,1,0,.5,1,0,1,2,0,0,.93220341,.93220341,1,1,0,1,1,1,1,1,1,2,3,1,1,.5,200,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,1902,0,0,0,.5,1,0,0,2,0,0,.81355929,.81355929,0,1,0,0,1,0,0,0,1,0,1,0,0,.5,220,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,1904,0,0,0,0,0,0,1,2,0,0,.93333334,.93333334,1,0,0,1,1,1,0,0,1,1,2,1,1,0,345,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,1904,1,0,0,1,1,0,0,2,0,0,.88333333,.88333333,0,0,0,1,1,0,0,1,2,0,1,0,1,1,220,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,1904,0,0,0,0,0,1,0,2,0,0,.80000001,.80000001,0,1,0,0,1,0,1,0,1,0,1,0,0,0,300,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,1905,0,1,0,0,0,1,0,2,0,0,.81967211,.81967211,1,0,0,0,1,0,0,0,1,2,3,0,0,0,255,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,1907,1,0,0,1,1,0,0,3,0,0,.83870965,.88172042,0,0,0,1,1,0,0,1,2,0,1,0,1,1,200,220,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,1907,0,0,0,.2,1,0,0,5,0,0,.93548387,.93548387,0,1,1,0,1,0,1,0,1,0,1,0,0,.2,90,91,92,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,1908,1,0,0,.5,1,0,0,2,0,0,.90322578,.90322578,0,0,0,1,1,0,0,1,2,0,1,0,1,.5,2,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,1909,1,0,0,0,0,0,0,2,0,0,.83870965,.83870965,0,0,0,1,1,0,0,1,2,0,1,0,1,0,325,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,1910,1,0,0,0,0,0,0,2,.015284,.030568,.84126985,.84126985,0,0,0,1,1,0,0,1,2,0,1,0,1,0,365,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1467,1911,0,0,0,0,0,0,0,2,0,0,.93333334,.93333334,0,1,1,0,0,0,0,0,1,0,1,0,0,0,130,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
